epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5067,1.28157,2.21062,1.36696,0.9174,0.20657,0.58917,0.28294,1.33595,3.14897,1.77046,0.000548633,0.000548633,0.000548633
2,26.0213,1.29961,1.60491,1.38346,0.67504,0.37683,0.4063,0.19819,1.61598,2.71095,1.9898,0.00108243,0.00108243,0.00108243
3,38.2099,1.34702,1.54121,1.43692,0.52161,0.4547,0.41497,0.17272,1.74474,2.75432,2.22421,0.00159423,0.00159423,0.00159423
4,50.5256,1.36552,1.45942,1.45449,0.41386,0.47399,0.37116,0.1456,1.87013,2.40315,2.18379,0.00156798,0.00156798,0.00156798
5,62.6754,1.33302,1.34076,1.42693,0.51912,0.53588,0.49005,0.25759,1.64482,1.91398,1.99479,0.00153497,0.00153497,0.00153497
6,74.9431,1.3016,1.25426,1.38017,0.53882,0.57303,0.53789,0.22484,1.88494,1.93674,2.10532,0.00150197,0.00150197,0.00150197
7,87.136,1.26994,1.18934,1.38008,0.54093,0.49104,0.50385,0.24122,1.75349,1.70316,2.0424,0.00146896,0.00146896,0.00146896
8,99.5824,1.23116,1.12457,1.35118,0.62467,0.51769,0.57769,0.26387,1.82648,1.62924,2.14453,0.00143595,0.00143595,0.00143595
9,111.795,1.23085,1.10623,1.34254,0.61611,0.5988,0.60982,0.2985,1.65216,1.56011,1.86686,0.00140295,0.00140295,0.00140295
10,124.181,1.17811,1.04299,1.30883,0.69499,0.56824,0.6236,0.32193,1.68178,1.4912,1.94056,0.00136994,0.00136994,0.00136994
11,136.299,1.19381,1.04011,1.31766,0.5996,0.58071,0.59884,0.29455,1.68663,1.43947,2.03141,0.00133693,0.00133693,0.00133693
12,148.238,1.15518,1.00198,1.29087,0.66681,0.6427,0.66432,0.35336,1.45643,1.3405,1.76557,0.00130393,0.00130393,0.00130393
13,160.489,1.12945,0.94555,1.26137,0.72564,0.62433,0.67203,0.37351,1.45482,1.34321,1.73447,0.00127092,0.00127092,0.00127092
14,172.609,1.11867,0.92477,1.28132,0.73968,0.59621,0.66793,0.35513,1.50924,1.30134,1.84818,0.00123791,0.00123791,0.00123791
15,184.675,1.13165,0.95213,1.28914,0.68432,0.66893,0.67554,0.39937,1.34006,1.18922,1.68821,0.00120491,0.00120491,0.00120491
16,196.568,1.10201,0.91306,1.25063,0.75428,0.61506,0.67589,0.37043,1.44237,1.36326,1.74359,0.0011719,0.0011719,0.0011719
17,208.391,1.07389,0.87491,1.23052,0.61785,0.66851,0.656,0.38589,1.3274,1.16435,1.66387,0.00113889,0.00113889,0.00113889
18,220.361,1.08307,0.87262,1.25337,0.67439,0.62071,0.63866,0.38966,1.34913,1.31011,1.67427,0.00110589,0.00110589,0.00110589
19,232.26,1.04854,0.85503,1.22342,0.74693,0.60835,0.6695,0.3818,1.3428,1.20054,1.69381,0.00107288,0.00107288,0.00107288
20,244.134,1.03954,0.83447,1.2204,0.71191,0.6365,0.66587,0.39645,1.34461,1.17628,1.65447,0.00103987,0.00103987,0.00103987
21,256.367,1.01993,0.81145,1.20004,0.65524,0.66555,0.70134,0.40628,1.33855,1.10992,1.60971,0.00100687,0.00100687,0.00100687
22,268.74,1.02022,0.79117,1.19874,0.77567,0.66936,0.7093,0.41861,1.2891,1.04052,1.60191,0.000973861,0.000973861,0.000973861
23,281.048,1.01317,0.80515,1.20877,0.71977,0.73885,0.73593,0.43533,1.33627,1.05349,1.60937,0.000940855,0.000940855,0.000940855
24,293.091,1.00844,0.76371,1.18974,0.72846,0.68146,0.71299,0.41328,1.40799,1.13181,1.70473,0.000907848,0.000907848,0.000907848
25,305.062,0.99718,0.74985,1.19394,0.71188,0.66326,0.70493,0.42052,1.28225,1.02022,1.66739,0.000874842,0.000874842,0.000874842
26,317.14,0.98166,0.75075,1.18014,0.80756,0.64285,0.72124,0.43178,1.31198,1.04829,1.61641,0.000841835,0.000841835,0.000841835
27,329.305,0.9774,0.73558,1.17174,0.75369,0.65598,0.71876,0.44276,1.29677,1.07047,1.6166,0.000808828,0.000808828,0.000808828
28,341.435,0.97279,0.72539,1.17926,0.77851,0.69985,0.74002,0.44885,1.2516,0.98329,1.56829,0.000775822,0.000775822,0.000775822
29,353.611,0.95954,0.72538,1.17442,0.79562,0.62015,0.7017,0.41259,1.32705,1.11776,1.66088,0.000742815,0.000742815,0.000742815
30,365.585,0.91932,0.70008,1.14652,0.72145,0.70173,0.73819,0.45378,1.21836,0.99755,1.56924,0.000709809,0.000709809,0.000709809
